video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
krRxctP3IjY,Set the mood this Valentine’s with the perfect lip combo! 💘 #hudabeauty #ValentinesDay #lipcombo,,2025-02-04T11:00:58Z,PT37S,hd,2d,false,False,33860,1798,0,40,public
CGiGhHDwmxc,Gorgeous @monikamuaaa ✨ #hudabeauty #purple #easybake #howto,,2025-01-23T11:46:06Z,PT12S,hd,2d,false,False,54394,1692,0,14,public
r_HjT8Ba8sQ,UBE event today with an ICONIC surprise guest 👀✨ Stay tuned!,,2025-01-15T08:27:51Z,PT29S,hd,2d,false,False,24342,944,0,23,public
g76XKpo_E98,Meet your new UBESESSION 💜✨ #asmr #purple #makeup #hudabeauty,,2025-01-13T11:48:40Z,PT30S,hd,2d,false,False,46133,1942,0,30,public
6sx88ARNMLs,Thank you all for the love and support❤️🙏 I’m beyond blessed to have such an incredible community!,,2025-01-12T12:00:08Z,PT53S,hd,2d,false,False,28994,1443,0,23,public
zAsqKSX9ltU,Meet The UBE SQUAD ✨💜 @GLAMZILLA @makeupbysamanthaharvey @KeviKodra @nyanelebajoa,,2025-01-11T12:01:25Z,PT12S,hd,2d,false,False,40558,1774,0,41,public
9mu39wN7Rwo,Serving looks and sweetness with our UBE COLLECTION!💜🍰#ubebirthdaycake #ubecream #uuubaby,,2025-01-10T11:00:10Z,PT18S,hd,2d,false,False,17671,1006,0,17,public
k-jXujUfioU,Meet our new UBE Collection! 💜 Launches today @Sephora and Jan 10 on HudaBeauty.com ✨,,2025-01-09T12:14:55Z,PT24S,hd,2d,false,False,27931,1387,0,27,public
M00UvHh3x_M,Meet Our New PURPLE Easy Bake Powder,"Hey my loves!! 💖 We created a limited edition shade that’s rosier & brighter than any other powder out there!
الترجمة للغة العربية متوفرة لهذا الفيديو
Introducing our new 💜 UBE COLLECTION 💜

🍰 Easy Bake in UBE BIRTHDAY CAKE: The iconic powder you LOVE—that gives you that airbrushed complexion and locks in your glam all day—now in an electric lilac for BLUSHED + BRIGHT under-eyes! Made specifically for medium to tan skin tones with warm/olive undertones 😍
💜 BLUSH FILTER in UBE CREAM: The ultimate lilac flush for a soft, baby doll pink hue
🍬 FAUX FILLER Lip Gloss in UUU-BABY: A milky pink-meets-lilac gloss with a subtle celebration shimmer for your glossiest lips yet

Landing exclusively on @sephora on January 9 and worldwide on HudaBeauty.com on January 10 🌎

LET’S BECOME FAMILY!
Instagram: http://instagram.com/hudabeauty
TikTok: https://www.tiktok.com/@hudabeauty
Snapchat: HudaBeauty 
Facebook: http://facebook.com/hudabeauty 
X: https://twitter.com/hudabeauty

#hudabeauty #ubebirthdaycake #beauty",2024-12-29T16:21:55Z,PT7M59S,hd,2d,true,False,1078002,12945,0,262,public
aoO4rbKAggg,Obsessed with this glam💖✨ @paintedbyesther7926  #hudabeauty #celebritymakeupartist #howto,,2024-12-23T11:00:05Z,PT45S,hd,2d,false,False,35622,2318,0,38,public
jF4rqthe4aM,Throwback to this Iconic trend! ✨ IB:@Zoekimkenealy #hudabeauty #cryingmakeup #howto,,2024-12-19T23:00:29Z,PT1M1S,hd,2d,false,False,29659,1384,0,19,public
UBCBjQ-Y4F8,Chocolate makeup look 🍫✨ #hudabeauty #makeup #howto,,2024-12-19T11:00:33Z,PT29S,hd,2d,false,False,32009,2079,0,30,public
HJ1ZuunwXew,👀,,2024-12-18T11:50:22Z,PT10S,hd,2d,false,False,98672,3335,0,76,public
FBbTCXOp0js,Latte Lips tutorial💄✨ #hudabeauty #latte #liptutorial #howto,,2024-11-29T12:03:11Z,PT21S,hd,2d,false,False,39091,2443,0,41,public
MfYtGcKW5_Q,Full face of Huda Beauty by @adele.maina. and we’re obsessed! Who else loves #ASMR #hudabeauty,,2024-11-13T11:46:15Z,PT54S,hd,2d,false,False,41482,2214,0,23,public
